[10.12 - 06:45] Player кирилл  ебалов (STEAM_2:1:620776024  ///  176.50.168.77) conencted.
[10.12 - 11:55] Player Shooooooter (STEAM_1:0:701963888  ///  168.211.83.214) conencted.
[10.12 - 12:22] Player Ludia :D (STEAM_1:0:186885685  ///  77.76.16.213) conencted.
[10.12 - 12:41] Player Fall Out Boy|OFF (STEAM_1:1:1141231493  ///  46.40.60.231) conencted.
[10.12 - 14:46] Player ronaldo (STEAM_1:0:853193476  ///  94.156.117.43) conencted.
[10.12 - 15:00] Player ZAICEV (STEAM_2:1:1379228811  ///  77.78.132.177) conencted.
[10.12 - 15:00] Player MALKIQ SINDJIR (STEAM_1:1:303058962  ///  95.42.7.196) conencted.
[10.12 - 15:07] Player Ludia :D (STEAM_1:0:186885685  ///  77.76.16.213) conencted.
[10.12 - 16:01] Player Ludia :D (STEAM_1:0:186885685  ///  77.76.16.213) conencted.
[10.12 - 17:01] Player MANQKA 325 PRO (VALVE_ID_LAN  ///  77.85.64.160) conencted.
[10.12 - 17:03] Player MANQKA 325 PRO (VALVE_ID_LAN  ///  77.85.64.160) conencted.
[10.12 - 17:05] Player plamen (STEAM_1:1:876199173  ///  77.85.246.51) conencted.
[10.12 - 17:10] Player ronaldo (STEAM_1:0:853193476  ///  94.156.117.43) conencted.
[10.12 - 17:12] Player MANQKA 325 PRO (VALVE_ID_LAN  ///  77.85.64.160) conencted.
[10.12 - 17:16] Player ronaldo (STEAM_1:0:853193476  ///  94.156.117.43) conencted.
[10.12 - 17:18] Player MWR-SOBT (STEAM_1:1:1657453429  ///  87.120.48.109) conencted.
[10.12 - 17:18] Player ronaldo (STEAM_1:0:853193476  ///  94.156.117.43) conencted.
[10.12 - 17:19] Player drakon zubi (STEAM_0:0:163292230  ///  212.5.158.121) conencted.
[10.12 - 17:28] Player XxXgeorgiXxX :) (STEAM_1:1:1289710602  ///  93.155.192.142) conencted.
[10.12 - 17:33] Player MANQKA 325 PRO (VALVE_ID_LAN  ///  77.85.64.160) conencted.
[10.12 - 17:42] Player plamen (STEAM_1:1:876199173  ///  77.85.246.51) conencted.
[10.12 - 17:43] Player MWR-SOBT (STEAM_1:1:1657453429  ///  87.120.48.109) conencted.
[10.12 - 17:43] Player plamen (STEAM_1:1:876199173  ///  77.85.246.51) conencted.
[10.12 - 17:43] Player ronaldo (STEAM_1:0:853193476  ///  94.156.117.43) conencted.
[10.12 - 17:43] Player Vichi THE amale (STEAM_1:0:2124732892  ///  77.76.188.199) conencted.
[10.12 - 17:45] Player LEO (STEAM_1:0:603964278  ///  151.237.37.93) conencted.
[10.12 - 17:45] Player FBI (STEAM_2:0:1136024465  ///  46.191.233.155) conencted.
[10.12 - 17:57] Player BABAITA (STEAM_1:0:603964278  ///  151.237.37.93) conencted.
[10.12 - 18:02] Player plamen (STEAM_1:1:876199173  ///  77.85.246.51) conencted.
[10.12 - 18:02] Player Shooooooter (STEAM_1:0:701963888  ///  168.211.83.214) conencted.
[10.12 - 18:04] Player BABAITA (STEAM_1:0:603964278  ///  151.237.37.93) conencted.
[10.12 - 18:05] Player FBI (VALVE_ID_LAN  ///  46.191.233.155) conencted.
[10.12 - 18:07] Player BABAITA (STEAM_1:0:603964278  ///  151.237.37.93) conencted.
[10.12 - 18:08] Player plamen (STEAM_1:1:876199173  ///  77.85.246.51) conencted.
[10.12 - 18:09] Player ronaldo (STEAM_1:0:853193476  ///  94.156.117.43) conencted.
[10.12 - 18:09] Player Vichi THE amale (STEAM_1:0:2124732892  ///  77.76.188.199) conencted.
[10.12 - 18:09] Player MWR-SOBT (STEAM_1:1:1657453429  ///  87.120.48.109) conencted.
[10.12 - 18:12] Player XxXgeorgiXxX :) (STEAM_1:1:1289710602  ///  93.155.192.142) conencted.
[10.12 - 18:22] Player luv si tigre (STEAM_1:0:57998108  ///  87.126.57.192) conencted.
[10.12 - 18:34] Player BABAITA (STEAM_1:0:603964278  ///  151.237.37.93) conencted.
[10.12 - 18:35] Player Shooooooter (STEAM_1:0:701963888  ///  168.211.83.214) conencted.
[10.12 - 18:45] Player BABAITA (STEAM_1:0:603964278  ///  151.237.37.93) conencted.
[10.12 - 18:45] Player Shooooooter (STEAM_1:0:701963888  ///  168.211.83.214) conencted.
[10.12 - 18:48] Player LEOPARD (STEAM_1:0:681183515  ///  151.237.37.93) conencted.
[10.12 - 18:51] Player mirolunata (STEAM_1:0:603964278  ///  151.237.37.93) conencted.
[10.12 - 19:03] Player mirolunata (STEAM_1:0:603964278  ///  151.237.37.93) conencted.
[10.12 - 19:03] Player LEOPARD (STEAM_1:0:681183515  ///  151.237.37.93) conencted.
[10.12 - 19:03] Player Shooooooter (STEAM_1:0:701963888  ///  168.211.83.214) conencted.
[10.12 - 19:03] Player +-->Kllier`Boss<--+ (STEAM_1:1:1316058917  ///  199.250.150.40) conencted.
[10.12 - 19:05] Player Hunnnnter (STEAM_1:1:1449545443  ///  168.211.83.214) conencted.
